Sno,Date,Province/State,Country,lat,lon,Last Update,Confirmed,Deaths,Recovered
140,01/25/2020 22:00:00,Liaoning,Mainland China,41.29284,122.6086,01/25/2020 12:00:00,19,0,0
141,01/25/2020 22:00:00,Fujian,Mainland China,26.07783,117.9895,01/25/2020 12:00:00,18,1,0
142,01/25/2020 22:00:00,Heilongjiang,Mainland China,47.862,127.7622,01/25/2020 12:00:00,15,0,0
143,01/25/2020 22:00:00,Shaanxi,Mainland China,35.19165,108.8701,01/25/2020 12:00:00,15,0,0
144,01/25/2020 22:00:00,Tianjin,Mainland China,39.29362,117.333,01/25/2020 12:00:00,13,0,0
145,01/25/2020 22:00:00,Hebei,Mainland China,38.0428,114.5149,01/25/2020 12:00:00,13,1,0
146,01/25/2020 22:00:00,Yunnan,Mainland China,24.97411,101.4868,01/25/2020 12:00:00,11,0,0
147,01/25/2020 22:00:00,Shanxi,Mainland China,37.57769,112.2922,01/25/2020 12:00:00,9,0,0
148,01/25/2020 22:00:00,Inner Mongolia,Mainland China,44.09448,113.9456,01/25/2020 12:00:00,7,0,0
149,01/25/2020 22:00:00,Gansu,Mainland China,36.0611,103.8343,01/25/2020 12:00:00,7,0,0
150,01/25/2020 22:00:00,Guizhou,Mainland China,26.81536,106.8748,01/25/2020 12:00:00,5,0,0
151,01/25/2020 22:00:00,Hong Kong,Hong Kong,22.3193,114.1694,01/25/2020 12:00:00,5,0,0
152,01/25/2020 22:00:00,Ningxia,Mainland China,37.26923,106.1655,01/25/2020 12:00:00,4,0,0
153,01/25/2020 22:00:00,Jilin,Mainland China,43.66657,126.1917,01/25/2020 12:00:00,4,0,0
154,01/25/2020 22:00:00,Xinjiang,Mainland China,41.11981,85.17822,01/25/2020 12:00:00,4,0,0
155,01/25/2020 22:00:00,Taiwan,Taiwan,23.6978,120.9605,01/25/2020 12:00:00,3,0,0
156,01/25/2020 22:00:00,Macau,Macau,22.1987,113.5439,01/25/2020 12:00:00,2,0,0
157,01/25/2020 22:00:00,Qinghai,Mainland China,35.65945,96.02564,01/25/2020 12:00:00,1,0,0
158,01/25/2020 22:00:00,Washington,US,47.7511,-120.7401,01/25/2020 12:00:00,1,0,0
159,01/25/2020 22:00:00,Illinois,US,40.6331,-89.3985,01/25/2020 12:00:00,1,0,0
160,01/25/2020 22:00:00,,Japan,35.6762,139.6503,01/25/2020 12:00:00,2,0,0
161,01/25/2020 22:00:00,,Thailand,13.7563,100.5018,01/25/2020 12:00:00,7,0,0
162,01/25/2020 22:00:00,,South Korea,37.5665,126.978,01/25/2020 12:00:00,3,0,0
163,01/25/2020 22:00:00,,Singapore,1.3521,103.8198,01/25/2020 12:00:00,3,0,0
164,01/25/2020 22:00:00,,Vietnam,21.0278,105.8342,01/25/2020 12:00:00,2,0,0
165,01/25/2020 22:00:00,,France,46.2276,2.2137,01/25/2020 12:00:00,3,0,0
166,01/25/2020 22:00:00,,Australia,-33.8688,151.2093,01/25/2020 12:00:00,4,0,0
167,01/25/2020 22:00:00,,Nepal,28.3949,84.124,01/25/2020 12:00:00,1,0,0
168,01/25/2020 22:00:00,,Malaysia,4.2105,101.9758,01/25/2020 12:00:00,3,0,0
169,01/26/2020 23:00:00,Hubei,Mainland China,30.97564,112.2707,01/26/2020 23:00:00,1423,76,44
170,01/26/2020 23:00:00,Guangdong,Mainland China,23.33841,113.422,01/26/2020 23:00:00,146,0,2
